ROWID;Name;Date;Challenge_name
30;Maxime;2023-03-15 22:26:02;Versatile
29;Aurélien;2023-03-15 21:40:42;Nomade
28;Aurélien;2023-03-14 23:00:05;Pétulant
27;Maxime;2023-03-14 22:21:01;Ni pioutes ni soumises
26;Aurélien;2023-03-14 22:08:53;Élitiste
25;Aurélien;2023-03-14 21:11:47;Chacun son monstre
24;Hugo;2023-03-13 22:57:29;Focus
23;Antoine;2023-03-13 21:27:00;Focus
22;Aurélien;2023-03-13 20:48:00;Ni pioutes ni soumises
21;Antoine;2023-03-13 18:40:00;Premier
20;Maxime;2023-03-13 17:08:00;Focus
19;Antoine;2023-03-13 17:08:00;Pusillanime
18;Antoine;2023-03-12 21:40:44;Ni pious ni soumis
17;Hugo;2023-03-12 21:09:48;Ni pioutes ni soumises
16;Maxime;2023-03-07 12:46:38;-
15;Maxime;2023-03-07 12:46:38;-
14;Maxime;2023-03-07 12:46:37;-
13;Maxime;2023-03-07 12:46:36;-
12;Aurélien;2023-03-07 12:46:34;-
11;Aurélien;2023-03-07 12:46:33;-
10;Aurélien;2023-03-07 12:46:33;-
9;Hugo;2023-03-07 12:46:30;-
8;Hugo;2023-03-07 12:46:29;-
7;Hugo;2023-03-07 12:46:28;-
6;Hugo;2023-03-07 12:46:28;-
5;Hugo;2023-03-07 12:46:26;Nomade
4;Hugo;2023-03-07 12:46:23;Versatile
3;Antoine;2023-03-07 12:46:19;Versatile
2;Antoine;2023-03-07 12:46:14;-
1;Antoine;2023-03-07 12:46:14;-
